simulation_num,N,seconds,word_count,word_list
1,3,0.2105,15,SUE;SUER;REG;ER;ERG;RE;ES;JEU;RES;USE;SER;US;USER;JUS;SEG
2,3,0.2712,32,ANT;ZA;ILIA;LINT;AI;VIAL;AN;ANIL;ALIT;VIA;TIL;AL;IT;NA;NAZI;LA;ANTI;LIT;LI;ANI;AIT;AIL;ZIT;LIN;IN;INTI;NAIL;AIN;LAIN;NIL;TI;ALT
3,2,0.1658,0,
4,3,0.2451,22,GOUT;UT;YOU;LUG;YOUTH;YO;HUT;THUG;OY;GUL;THY;GOUTY;GOY;GUT;UH;TUG;GLUT;GUY;HUG;GLUG;OUT;GO
5,2,0.1678,6,AB;BAP;ZA;ZAP;BA;PA
6,3,0.2487,32,VIS;WASP;KAS;WISP;SAP;ASP;IS;WAP;SAKI;KA;PAS;WAS;US;PSI;SIKA;PAWS;AW;SWAP;PAW;SAW;AS;PA;AUK;SI;VISA;WAPS;WIS;SAU;KIS;KI;WAUK;SPA
7,5,0.3243,24,ZA;UP;SHY;PUP;WHUP;AH;SH;HUB;PUPU;AD;HAD;PUB;HA;PUPS;US;VAV;HUP;WHYS;HUH;UPS;WHUPS;DAH;UH;WHY
8,4,0.1832,0,
9,5,0.8369,154,BOOING;OXY;LYNX;EL;WING;BEY;LOONY;GAE;OLEA;BOON;AG;LOG;GOON;FRY;WRONG;BONY;BOO;ROWING;WIRY;WON;LAB;ELOIN;GOB;NOR;BAG;WRY;ONION;BORING;RIN;LEG;IN;BO;YOGA;AGE;OLEO;NINNY;FRINGE;BONG;BORN;OW;ROB;NONYL;LOGOI;ALE;AL;ON;NOEL;NOON;BONNY;GAB;AGONY;GOR;YO;GEL;OY;BOING;JAB;FROG;LOIN;OE;AGO;LOGO;RONION;BA;BE;NIX;WINO;GAL;FROE;AEON;BALE;ONYX;GOONY;FRO;NOIR;BONING;BORON;LYE;WIN;BOG;GOO;GEY;YON;FROW;LEA;NOG;GALE;BAL;ALOE;JAG;GOOEY;LOOING;LOOEY;EBB;EGO;LOGON;GOY;ROW;ORIOLE;RING;JEON;NOO;ALOIN;LAG;BAGEL;AE;GONION;YEA;LEY;NIXY;LAGOON;XI;LOON;IRONY;YE;YONI;INRO;NOW;WO;WINY;WORN;BAGNIO;EGAL;BEG;AB;NOB;WRING;BOOGEY;GORY;LOO;BELON;ROE;LA;LOGE;ONO;BOGEY;LO;INN;OR;EON;OI;OLE;BEL;IRON;ORYX;NO;OWING;NORI;ONIONY;ION;GO;BONGO;OX;AGON
10,3,0.2101,25,DO;YE;OF;FEY;FE;YON;OYER;OD;ON;FON;ER;YO;YOD;REF;OY;EF;FOYER;DON;FER;NO;JOY;NOD;FOY;RE;JO
11,4,0.3073,62,OBA;DAB;DO;DOM;SH;MOTH;BODS;MOS;TOM;TOMB;SO;AA;ADO;AB;OD;ADZ;AD;DOS;BOA;SOD;ADS;DAVY;BOS;TO;MOZO;ODS;SOBA;OS;BOSH;BAA;MOA;SODA;BOZO;BADS;BA;ABO;MOTHS;AVO;OM;MOTS;SOB;BAD;MOZOS;ABA;ZOA;BO;BOD;ABOS;MO;MOB;BODY;OVA;MOST;MOD;MOSH;MODS;SOM;ODA;DOST;AVOS;ADOS;MOT
