simulation_num,N,moves,seconds,word_count,word_list
1,2,24,0.1567,0,
2,2,18,0.1505,0,
3,2,30,0.1581,0,
4,2,33,0.1605,5,BO;TO;BOT;OX;BOX
5,2,47,0.164,15,ANY;NAM;NA;MA;NAY;MAN;AM;MY;MANY;MAY;AN;YA;AY;MYNA;YAM
6,2,30,0.1558,2,QI;PI
7,2,18,0.1509,0,
8,2,32,0.1561,3,IF;MI;FIZ
9,2,40,0.1647,4,BI;BIB;LIB;LI
10,2,20,0.151,0,
11,2,27,0.1553,1,SKY
12,2,30,0.1556,3,HUH;XU;UH
13,2,40,0.1631,6,IF;LI;FIB;LIB;BI;FIL
14,2,38,0.1602,3,KID;KI;ID
15,2,20,0.1527,0,
16,2,16,0.1487,0,
17,2,18,0.1505,0,
18,2,20,0.1523,0,
19,2,34,0.1579,4,DIP;VID;ID;PI
20,2,18,0.1503,0,
21,2,33,0.1589,2,ZIG;CIG
22,2,28,0.155,2,HM;SH
23,2,56,0.1731,8,NO;GOON;GOO;NOO;GO;ONO;NOG;ON
24,2,18,0.1503,0,
25,2,16,0.1514,0,
26,2,30,0.1551,0,
27,2,45,0.1618,8,LAW;CLAW;AL;AW;CAW;LA;LAC;AWL
28,2,46,0.165,6,LAY;AY;YA;AL;LA;YAY
29,2,22,0.1525,0,
30,2,37,0.165,2,SHY;SH
31,2,44,0.1634,11,PAL;LAP;NA;PA;PAN;ALP;PLAN;AN;AL;LA;NAP
32,2,35,0.1592,1,ES
33,2,34,0.1574,0,
34,2,24,0.1523,0,
35,2,43,0.164,3,GEY;GUY;YE
36,2,16,0.1519,0,
37,2,36,0.1552,2,AE;AI
38,2,31,0.1554,3,BI;BY;XI
39,2,36,0.1581,4,XU;JEUX;EX;JEU
40,2,40,0.1606,7,RAY;AR;RYA;YAR;ZA;YA;AY
41,2,50,0.172,5,IRE;REI;ER;RE;ERR
42,2,35,0.1595,4,LUX;GUL;XU;LUG
43,2,34,0.1581,4,ZERK;ER;RE;ZEK
44,2,24,0.1538,0,
45,2,20,0.1508,0,
46,2,47,0.1646,12,OM;MA;LO;MOL;AM;LOAM;MO;MOLA;LAM;AL;LA;MOA
47,2,32,0.1569,3,ZAP;ZA;PA
48,2,28,0.1607,0,
49,2,35,0.1623,1,HYP
50,2,38,0.1598,5,EF;EL;FE;LEV;ELF
51,3,340,0.2181,21,MI;UM;MURK;CUR;KAMI;AIM;CUM;UMIAK;MA;AI;RUMAKI;AMU;MU;AMI;MIC;KA;CRU;AM;CWM;RUM;KI
52,3,408,0.2423,21,RUE;THRU;RUES;SH;HE;TRUE;SECT;UH;HURT;ES;SEC;HUE;HES;THE;HUES;SHE;ECRU;TRUES;ECHT;CRU;EH
53,3,142,0.1746,11,RAJ;AR;CRAW;WAR;JAR;WARK;JAW;RAW;ARC;AW;ARK
54,3,107,0.1732,2,MO;OM
55,3,510,0.288,35,KAURI;TAROK;LO;OKRA;ORA;OI;TARO;TAU;KORAI;KOR;AIRT;ORT;AR;AI;RIA;ART;KART;TRIO;KAT;AT;RAI;OR;KA;KORAT;ZORI;IRK;KOI;OKA;KORA;TRIOL;AIR;RAT;TA;ARK;TAR
56,3,98,0.1731,2,BY;PYX
57,3,228,0.2152,7,BO;BE;EH;CHEZ;OE;HE;OBE
58,3,103,0.1724,0,
59,3,236,0.2079,14,MOG;BO;OM;LOG;LO;MOB;MO;MOL;GO;BLOG;GOB;MOM;BOG;LOB
60,3,111,0.1868,0,
61,3,313,0.2269,23,TYIN;HI;THIN;HYP;WHY;WHIN;BY;THINK;WINK;INK;WYN;WHINY;KIN;HINKY;WINY;YIN;PYIN;WIN;INKY;THY;IN;HIN;KI
62,3,183,0.1813,15,JAB;PI;IGG;JABS;PA;BIG;GIB;BAP;GIP;PIG;GIBS;BA;AB;ABS;BI
